ID	HSK_Level	Simplified	Pinyin	Meaning	Examples	Tags	Audio
251-V	HSK 1	爱	ài	aimer, amour	我爱你 - wǒ ài nǐ - Je t'aime<br>爱中国 - ài zhōngguó - Aimé la Chine<br>爱吃 - ài chī - aimer à manger<br>爱好 - àihào - intérêt<br>可爱 - kě'ài - mignon	émotion,quotidien	[sound:hsk1_爱.wav]
282-V	HSK 1	吧	ba	particule suggestion	走吧 - zǒu ba - Allons-y<br>好吧 - hǎo ba - D'accord<br>我们去吧 - wǒmen qù ba - Allons-y<br>是吧 - shì ba - Ouais<br>算了吧 - suàn le ba - Allez, arrêtez-vous.	grammaire,quotidien	[sound:hsk1_吧.wav]
148-V	HSK 1	八	bā	huit	八个人 - bā ge rén - huit personnes<br>八点 - bā diǎn - huit heures<br>八十 - bāshí - quatre-vingts<br>八号 - bā hào - huit jours<br>八月 - bā yuè - août	chiffre,quotidien	[sound:hsk1_八.wav]
243-V	HSK 1	爸爸	bàba	papa	我爸爸 - wǒ bàba - Mon père<br>爸爸工作 - bàba gōngzuò - Le travail de mon père<br>这是我爸爸 - zhè shì wǒ bàba - Ceci est mon père<br>爸爸妈妈 - bàba māma - Ma mère et moi<br>叫爸爸 - jiào bàba - Appeler mon père	famille,quotidien	[sound:hsk1_爸爸.wav]
152-V	HSK 1	百	bǎi	cent	一百 - yì bǎi - cent yuans<br>两百 - liǎng bǎi - deux cents<br>三百 - sān bǎi - trois cents<br>五百块 - wǔ bǎi kuài - quinze cents yuans<br>几百 - jǐ bǎi - quelques cent	chiffre,quotidien	[sound:hsk1_百.wav]
1857-V	HSK 1	白天	báitiān	journée, jour	白天很热 - báitiān hěn rè - Il fait chaud pendant la journée<br>我白天工作 - wǒ báitiān gōngzuò - Je travaille pendant la journée<br>白天他在公司 - báitiān tā zài gōngsī - Il est au bureau pendant la journée	nom,temps,quotidien	[sound:hsk1_白天.wav]
457-V	HSK 1	半	bàn	demi, moitié	半个 - bàn ge - moitié<br>一个半 - yí ge bàn - un demi<br>半小时 - bàn xiǎoshí - moitié d'heure	quantité,temps	[sound:hsk1_半.wav]
040-V	HSK 1	包子	bāozi	petits pains farcis	吃包子 - chī bāozi - Manger des bao zi<br>肉包子 - ròu bāozi - pains à la viande<br>早上我吃包子 - zǎoshang wǒ chī bāozi - Le matin, j' mange des baozi.<br>菜包子还是肉包子？ - cài bāozi háishi ròu bāozi? - Quel type de baozi : aux légumes ou à la viande ?<br>包子很便宜 - bāozi hěn piányi - Les baozi sont très abordables.	nourriture,cuisine,quotidien	[sound:hsk1_包子.wav]
304-V	HSK 1	杯子	bēizi	verre, tasse	这个杯子 - zhège bēizi - Ce verre<br>买杯子 - mǎi bēizi - Acheter un verre<br>水杯子 - shuǐ bēizi - Verre d'eau	nom,objet	[sound:hsk1_杯子.wav]
1858-V	HSK 1	本1	běn	classificateur : volumes, livres; cahier	本1 - běn - classificateur (livres)<br>本子 - běnzi - cahier<br>课本 - kèběn - manuel scolaire	nom,classificateur,éducation	[sound:hsk1_本.wav]
1859-V	HSK 1	边	biān	côté, bord	在这边 - zài zhè biān - De ce côté<br>路边有树 - lù biān yǒu shù - Il y a des arbres au bord de la route<br>河边很漂亮 - hé biān hěn piàoliang - Le bord de la rivière est beau	nom,position,direction	[sound:hsk1_边.wav]
498-V	HSK 1	病	bìng	maladie, malade	生病 - shēng bìng - Malade<br>他病了 - tā bìng le - Il est malade.<br>病了 - bìng le - Malade	nom,santé	[sound:hsk1_病.wav]
169-G	HSK 1	不	bù	ne... pas	不是 - bú shì - Ce n'est pas vrai.<br>我不去 - wǒ bú qù - Je ne vais pas y aller.<br>他不喜欢咖啡 - tā bù xǐhuan kāfēi - Il ne aime pas le café<br>今天不冷 - jīntiān bù lěng - Il n'est pas froid aujourd'hui.<br>不知道 - bù zhīdào - Je ne sais pas.	grammaire,négation	[sound:hsk1_不.wav]
185-V	HSK 1	不客气	bú kèqi	de rien	不客气 - bú kèqi - Pas de problème<br>不用谢 - búyòng xiè - Pas de problème<br>没关系 - méi guānxi - Il n'y a pas de problème<br>别客气 - bié kèqi - Ne sois pas poli<br>应该的 - yīnggāi de - De rien	salutation,politesse	[sound:hsk1_不客气.wav]
1860-V	HSK 1	不要	búyào	ne pas (impératif)	不要走 - búyào zǒu - Ne pars pas<br>不要说话 - búyào shuōhuà - Ne parle pas<br>请不要在这里吸烟 - qǐng búyào zài zhèlǐ xīyān - Ne fumez pas ici s'il vous plaît	verbe,négation,impératif	[sound:hsk1_不要.wav]
055-V	HSK 1	菜	cài	légumes, plat	中国菜 - zhōngguó cài - La cuisine chinoise<br>点菜 - diǎn cài - Commander l'entrée<br>这个菜很好吃 - zhège cài hěn hǎochī - Ce plat est très bon.<br>买菜 - mǎi cài - Acheter des légumes<br>今天吃什么菜？ - jīntiān chī shénme cài? - Quelle cuisine faire aujourd'hui ?	nourriture,cuisine,quotidien	[sound:hsk1_菜.wav]
046-V	HSK 1	茶	chá	thé	喝茶 - hē chá - Bois du thé<br>我喜欢茶 - wǒ xǐhuan chá - J'aime le thé<br>来一杯茶 - lái yì bēi chá - Donne-moi un verre de thé<br>你喝什么茶？ - nǐ hē shénme chá? - Quel thé bois-tu ?<br>中国茶很有名 - zhōngguó chá hěn yǒumíng - Le thé chinois est très réputé	boisson,culture,quotidien	[sound:hsk1_茶.wav]
451-V	HSK 1	唱	chàng	chanter	唱歌 - chàng gē - chanter<br>会唱 - huì chàng - savoir chanter<br>唱得好 - chàng de hǎo - chanter bien	verbe,loisir	[sound:hsk1_唱.wav]
082-V	HSK 1	超市	chāoshì	supermarché	去超市 - qù chāoshì - Aller au supermarché<br>超市买东西 - chāoshì mǎi dōngxi - Acheter des articles au supermarché<br>超市在哪儿？ - chāoshì zài nǎr? - Où est le supermarché ?<br>这个超市很大 - zhège chāoshì hěn dà - Ce supermarché est très grand.<br>超市几点关门？ - chāoshì jǐ diǎn guān mén? - Quelle heure ferme le supermarché ?	lieu,shopping	[sound:hsk1_超市.wav]
362-V	HSK 1	车	chē	véhicule	坐车 - zuò chē - 坐车开车 - kāi chē - Conduire<br>下车 - xià chē - descendre	nom,transport	[sound:hsk1_车.wav]
001-V	HSK 1	吃	chī	manger	我吃饭 - wǒ chī fàn - Je mange<br>你吃什么？ - nǐ chī shénme? - Que mangez-vous ?<br>我想吃中国菜 - wǒ xiǎng chī zhōngguó cài - Je veux manger de la cuisine chinoise<br>你吃过北京烤鸭吗？ - nǐ chī guò běijīng kǎoyā ma? - Avez-vous déjà mangé du canard de Pékin ?<br>我不太喜欢吃辣的 - wǒ bú tài xǐhuan chī là de - Je n'aime pas trop les aliments épicés	verbe,nourriture,quotidien	[sound:hsk1_吃.wav]
032-V	HSK 1	穿	chuān	porter (vêtement)	穿衣服 - chuān yīfu - Se vêtir<br>今天穿什么？ - jīntiān chuān shénme? - Quoi porter aujourd'hui ?<br>她穿得很漂亮 - tā chuān de hěn piàoliang - Elle est très bien habillée.<br>穿鞋 - chuān xié - Porte des chaussures.<br>天冷了，多穿点儿 - tiān lěng le, duō chuān diǎnr - Il fait froid, porte plus.	verbe,vêtements,quotidien	[sound:hsk1_穿.wav]
210-V	HSK 1	出租车	chūzūchē	taxi	打车 - dǎ chē - Prendre un taxi<br>坐出租车 - zuò chūzūchē - Prendre un taxi<br>叫出租车 - jiào chūzūchē - Appeler un taxi<br>出租车在哪儿？ - chūzūchē zài nǎr? - Où est le taxi ?<br>出租车很贵 - chūzūchē hěn guì - Le taxi est cher	transport,voyage,quotidien	[sound:hsk1_出租车.wav]
094-V	HSK 1	大	dà	grand	很大 - hěn dà - C'est grand<br>这个太大了 - zhège tài dà le - C'est trop grand<br>你多大了？ - nǐ duō dà le? - Combien d'années as-tu ?<br>北京很大 - běijīng hěn dà - Beijing est grand<br>我哥哥比我大三岁 - wǒ gēge bǐ wǒ dà sān suì - Mon frère a trois ans de plus que moi	adjectif,quotidien	[sound:hsk1_大.wav]
526-V	HSK 1	打电话	dǎ diànhuà	téléphoner	打电话 - dǎ diànhuà - Téléphoner<br>给他打电话 - gěi tā dǎ diànhuà - lui appeler<br>打个电话 - dǎ ge diànhuà - appeler	verbe,communication	[sound:hsk1_打电话.wav]
560-V	HSK 1	大家	dàjiā	tout le monde	大家好 - dàjiā hǎo - Bonjour à tous<br>大家都 - dàjiā dōu - tout le monde	pronom	[sound:hsk1_大家.wav]
286-V	HSK 1	到	dào	jusqu'à	到了 - dào le - Arrivé<br>到北京 - dào běijīng - À Beijing<br>从家到学校 - cóng jiā dào xuéxiào - De la maison à l'école<br>到家 - dào jiā - À la maison<br>到时候 - dào shíhou - À l'heure	grammaire,quotidien	[sound:hsk1_到.wav]
398-V	HSK 1	大学	dàxué	université	上大学 - shàng dàxué - étudier à l'université<br>大学生 - dàxuéshēng - Étudiant universitaire<br>北京大学 - běijīng dàxué - l'université de Pékin	nom,étude	[sound:hsk1_大学.wav]
316-V	HSK 1	大学生	dàxuéshēng	étudiant(e)	我是大学生 - wǒ shì dàxuéshēng - Je suis étudiant.<br>很多大学生 - hěn duō dàxuéshēng - Beaucoup d'étudiants universitaires<br>大学生的生活 - dàxuéshēng de shēnghuó - La vie étudiante	nom,personne,étude	[sound:hsk1_大学生.wav]
177-G	HSK 1	的	de	particule de possession	我的书 - wǒ de shū - Mes livres<br>好吃的 - hǎochī de - Des aliments délicieux<br>红色的苹果 - hóngsè de píngguǒ - Un pomme rouge<br>这是我买的 - zhè shì wǒ mǎi de - C'est ce que j'ai acheté<br>新来的老师 - xīn lái de lǎoshī - Le nouveau professeur	grammaire,quotidien	[sound:hsk1_的.wav]
474-V	HSK 1	第	dì	préfixe ordinal	第一 - dì yī - premier<br>第二 - dì èr - deuxième<br>第三 - dì sān - troisième	grammaire,quantité	[sound:hsk1_第.wav]
1861-V	HSK 1	店	diàn	magasin, boutique	商店 - shāngdiàn - Magasin<br>这家店很大 - zhè jiā diàn hěn dà - Ce magasin est très grand<br>我开了一家店 - wǒ kāi le yì jiā diàn - J'ai ouvert une boutique	nom,commerce,lieu	[sound:hsk1_店.wav]
1862-V	HSK 1	点1	diǎn	point; petite quantité; moment (heure)	一点儿 - yìdiǎnr - un peu<br>地点 - dìdiǎn - endroit; lieu<br>优点 - yōudiǎn - avantage; point fort	nom,quantité,concept	[sound:hsk1_点.wav]
