ID	HSK_Level	Simplified	Pinyin	Meaning	Examples	Tags	Audio
11483-V	HSK 2	啊	a	particule qui marque la confirmation / “d’accord, je vois” (souvent en fin)	好啊 - hǎo a! - Super !<br>行啊 - xíng a! - D'accord !<br>真的啊 - zhēn de a - Vraiment, je vois.	grammaire	[sound:hsk1_啊.wav]
355-V	HSK 2	爱好	àihào	hobby, passion	你的爱好 - nǐ de àihào - Ton hobby<br>什么爱好？ - shénme àihào? - Quels sont vos loisirs ?<br>我的爱好是 - wǒ de àihào shì - Mon hobby est	nom,loisir	[sound:hsk1_爱好.wav]
1880-V	HSK 2	白色	báisè	blanc (couleur)	白色的猫 - báisè de māo - Un chat blanc<br>我喜欢白色 - wǒ xǐhuan báisè - J'aime le blanc<br>她穿着白色的裙子 - tā chuān zhe báisè de qúnzi - Elle porte une jupe blanche	nom,couleur	[sound:hsk2_白色.wav]
1881-V	HSK 2	班	bān	classe, équipe, service	上班 - shàngbān - Aller au travail<br>你在几班？ - nǐ zài jǐ bān? - Tu es dans quelle classe ?<br>我们班有三十个学生 - wǒmen bān yǒu sānshí gè xuésheng - Notre classe a trente élèves	nom,école,travail	[sound:hsk2_班.wav]
028-V	HSK 2	帮	bāng	aider	帮忙 - bāng máng - Aide<br>你能帮我吗？ - nǐ néng bāng wǒ ma? - Puis-je t'aider ?<br>我来帮你 - wǒ lái bāng nǐ - Je viens t'aider<br>谢谢你帮我 - xièxie nǐ bāng wǒ - Merci de m'aider<br>需要帮忙吗？ - xūyào bāng máng ma? - Besoin d'aide ?	verbe,politesse,quotidien	[sound:hsk1_帮.wav]
533-V	HSK 2	帮忙	bāngmáng	aider	帮忙吧 - bāng máng ba - Aidez-moi<br>请帮忙 - qǐng bāng máng - S'il vous plaît, aidez-moi<br>帮个忙 - bāng ge máng - Faites-moi une petite faveur	verbe,quotidien	[sound:hsk1_帮忙.wav]
322-V	HSK 2	包	bāo	sac, paquet	书包 - shūbāo - Sac à dos<br>一个包 - yí ge bāo - Un sac<br>皮包 - píbāo - Sac en cuir	nom,objet	[sound:hsk1_包.wav]
1882-V	HSK 2	本子	běnzi	cahier, carnet	一个本子 - yí gè běnzi - Un cahier<br>我的本子在哪儿？ - wǒ de běnzi zài nǎr? - Où est mon cahier ?<br>请在本子上写字 - qǐng zài běnzi shàng xiězì - Écrivez dans le cahier	nom,école,écriture	[sound:hsk2_本子.wav]
288-V	HSK 2	比	bǐ	comparer	比我高 - bǐ wǒ gāo - Plus grand que moi<br>比他大 - bǐ tā dà - Plus âgé qu'il ne l'est<br>比较 - bǐjiào - Comparer<br>没有...比 - méiyǒu...bǐ - Il n'y a pas... plus<br>比以前 - bǐ yǐqián - plus que previously	grammaire,quotidien	[sound:hsk1_比.wav]
726-V	HSK 2	笔	bǐ	stylo	一支笔 - yì zhī bǐ - Un stylo<br>你有笔吗？ - nǐ yǒu bǐ ma? - Vous avez du papier ?<br>借我一支笔 - jiè wǒ yì zhī bǐ - Prête-moi un stylo	étude,quotidien	[sound:hsk1_笔.wav]
1883-V	HSK 2	别1	bié	ne… pas !; autre; quitter	别走 - bié zǒu - Ne pars pas<br>别担心 - bié dānxīn - Ne t'inquiète pas<br>别忘了带钥匙 - bié wàng le dài yàoshi - N'oublie pas les clés<br>我不要别的 - wǒ bù yào bié de - Je ne veux rien d'autre<br>别人说什么？ - bié rén shuō shénme? - Que disent les autres ?	verbe,négation,grammaire	[sound:hsk2_别.wav]
1884-V	HSK 2	不好意思	bù hǎoyìsi	désolé, excusez-moi, gêné	不好意思 - bù hǎoyìsi - Excusez-moi<br>不好意思，我迟到了 - bù hǎoyìsi, wǒ chídào le - Désolé, je suis en retard<br>让你等了，真不好意思 - ràng nǐ děng le, zhēn bù hǎoyìsi - Désolé de t'avoir fait attendre	expression,politesse,excuse	[sound:hsk2_不好意思.wav]
1885-V	HSK 2	不错	búcuò	pas mal, bien	很不错 - hěn búcuò - Très bien<br>这个菜不错 - zhège cài búcuò - Ce plat est pas mal<br>你的中文不错 - nǐ de zhōngwén búcuò - Ton chinois est pas mal	adjectif,évaluation,positif	[sound:hsk2_不错.wav]
104-V	HSK 2	长1	cháng	long; durer	很长 - hěn cháng - très long<br>长短不一 - chángduǎn bù yī - de longueurs variées<br>时间很长 - shíjiān hěn cháng - ça dure longtemps	adjectif,temps,espace	[sound:hsk2_长.wav]
447-V	HSK 2	车站	chēzhàn	gare, arrêt	车站在哪儿？ - chēzhàn zài nǎr? - Où est la gare ?<br>到车站 - dào chēzhàn - aller à la gare<br>公共汽车站 - gōnggòng qìchē zhàn - arrêt de bus	lieu,transport	[sound:hsk1_车站.wav]
356-V	HSK 2	出	chū	sortir	出去 - chūqu - Sortir<br>出来 - chūlai - sortir<br>出门 - chū mén - Sortir	verbe,déplacement	[sound:hsk1_出.wav]
223-V	HSK 2	床	chuáng	lit	睡床 - shuì chuáng - lit<br>床很舒服 - chuáng hěn shūfu - le lit est confortable<br>在床上 - zài chuáng shàng - sur le lit<br>起床 - qǐ chuáng - se lever<br>上床睡觉 - shàng chuáng shuì jiào - aller se coucher	meuble,quotidien	[sound:hsk1_床.wav]
1886-V	HSK 2	出国	chūguó	aller à l'étranger	我想出国 - wǒ xiǎng chūguó - Je veux aller à l'étranger<br>你出国过吗？ - nǐ chūguó guò ma? - Es-tu déjà allé à l'étranger ?<br>他要出国留学 - tā yào chūguó liúxué - Il va étudier à l'étranger	verbe,voyage,international	[sound:hsk2_出国.wav]
337-V	HSK 2	出来	chūlái	sortir (vers soi)	出来吧 - chūlai ba - sortir<br>拿出来 - ná chūlai - sortir et montrer<br>走出来 - zǒu chūlai - sortir dehors	verbe,déplacement	[sound:hsk1_出来.wav]
1887-V	HSK 2	出门	chūmén	sortir (de chez soi)	我要出门 - wǒ yào chūmén - Je dois sortir<br>你几点出门？ - nǐ jǐ diǎn chūmén? - À quelle heure sors-tu ?<br>出门前记得带伞 - chūmén qián jìde dài sǎn - N'oublie pas le parapluie avant de sortir	verbe,déplacement,quotidien	[sound:hsk2_出门.wav]
423-V	HSK 2	出去	chūqù	sortir	出去玩儿 - chūqu wánr - Sortir pour jouer<br>我要出去 - wǒ yào chūqu - je vais sortir<br>快出去 - kuài chūqu - sortir rapidement	verbe,déplacement	[sound:hsk1_出去.wav]
1888-V	HSK 2	词	cí	mot, vocabulaire	生词 - shēngcí - Nouveau vocabulaire<br>这个词是什么意思？ - zhège cí shì shénme yìsi? - Que signifie ce mot ?<br>我每天学十个新词 - wǒ měitiān xué shí gè xīn cí - J'apprends dix nouveaux mots par jour	nom,langue,grammaire	[sound:hsk2_词.wav]
359-V	HSK 2	次	cì	fois	一次 - yí cì - Une fois<br>下次 - xià cì - La prochaine fois<br>这次 - zhè cì - Cette fois	classificateur,temps	[sound:hsk1_次.wav]
285-V	HSK 2	从	cóng	depuis, de	从这儿 - cóng zhèr - D'ici<br>从家到学校 - cóng jiā dào xuéxiào - De la maison à l'école<br>从早到晚 - cóng zǎo dào wǎn - Du matin au soir<br>从来 - cónglái - Jamais<br>从小 - cóng xiǎo - Depuis petit	grammaire,quotidien	[sound:hsk1_从.wav]
1889-V	HSK 2	从小	cóngxiǎo	depuis l'enfance	我从小学中文 - wǒ cóngxiǎo xué zhōngwén - J'apprends le chinois depuis mon enfance<br>他从小就喜欢音乐 - tā cóngxiǎo jiù xǐhuan yīnyuè - Il aime la musique depuis son enfance<br>我们从小就是好朋友 - wǒmen cóngxiǎo jiù shì hǎo péngyou - Nous sommes amis depuis l'enfance	adverbe,temps,enfance	[sound:hsk2_从小.wav]
122-V	HSK 2	错	cuò	faux, erreur	错了 - cuò le - Mauvais.<br>不对，错了 - bú duì, cuò le - Non, mauvais.<br>我错了 - wǒ cuò le - Je me trompe.<br>没错 - méi cuò - Pas de problème.<br>这个答案是错的 - zhège dá'àn shì cuò de - Cette réponse est fausse.	adjectif,quotidien	[sound:hsk1_错.wav]
1890-V	HSK 2	打1	dǎ	frapper, jouer, faire	打电话 - dǎ diànhuà - Téléphoner<br>打篮球 - dǎ lánqiú - Jouer au basket<br>他在打游戏 - tā zài dǎ yóuxì - Il joue aux jeux vidéo	verbe,action,polyvalent	[sound:hsk2_打.wav]
547-V	HSK 2	打车	dǎchē	prendre un taxi	打车去 - dǎ chē qù - prendre un taxi pour y aller<br>打车来 - dǎ chē lái - prendre un taxi ici<br>打车回家 - dǎ chē huí jiā - prendre un taxi pour rentrer	verbe,transport	[sound:hsk1_打车.wav]
525-V	HSK 2	打开	dǎkāi	ouvrir	打开门 - dǎkāi mén - ouvrir la porte<br>打开书 - dǎkāi shū - ouvrir le livre<br>打开窗户 - dǎkāi chuānghu - ouvrir les fenêtres	verbe,action	[sound:hsk1_打开.wav]
1891-V	HSK 2	但	dàn	mais, cependant	但是 - dànshì - Mais<br>我想去，但没时间 - wǒ xiǎng qù, dàn méi shíjiān - Je veux y aller, mais je n'ai pas le temps<br>他很聪明，但不努力 - tā hěn cōngming, dàn bù nǔlì - Il est intelligent, mais pas travailleur	conjonction,grammaire,contraste	[sound:hsk2_但.wav]
290-V	HSK 2	但是	dànshì	mais	但是我不去 - dànshì wǒ bú qù - Mais je ne vais pas.<br>很贵，但是很好 - hěn guì, dànshì hěn hǎo - Très cher, mais très bon.<br>但是没时间 - dànshì méi shíjiān - Mais il n'y a pas de temps.<br>想去，但是... - xiǎng qù, dànshì... - Vouloir y aller, mais...<br>但是不行 - dànshì bù xíng - Mais ce n'est pas possible	grammaire,quotidien	[sound:hsk1_但是.wav]
176-G	HSK 2	得	de	particule de complément (résultat, manière)	看得见 - kàn de jiàn - Pouvoir voir<br>听得懂 - tīng de dǒng - Pouvoir comprendre (en écoutant)<br>说得好 - shuō de hǎo - Bien parlé<br>跑得快 - pǎo de kuài - Courir vite<br>做得不错 - zuò de bùcuò - Bien fait	grammaire,quotidien	[sound:hsk1_得1.wav]
404-V	HSK 2	地	de	particule (marque l'adverbial, un peu comme "-ment")	慢慢地 - mànmàn de - Lentement<br>他慢慢地走 - tā mànmàn de zǒu - Il marche lentement	nom,grammaire	[sound:hsk1_地1.wav]
1892-V	HSK 2	等1	děng	attendre; patienter	等待 - děngdài - attendre<br>等候 - děnghòu - attendre (plutôt soutenu)	verbe,temps,action	[sound:hsk2_等.wav]
