ID	HSK_Level	Simplified	Pinyin	Meaning	Examples	Tags	Audio
5941-V	HSK 7-9	挨1	āi	être contre; à côté de; s’approcher	挨 - āi - être contre / à côté de<br>挨家挨户 - āijiā-āihù - de porte en porte<br>挨着 - āizhe - à côté de	verbe,position,espace	[sound:hsk6_挨1.wav]
5942-V	HSK 7-9	癌	ái	cancer	癌症 - áizhèng - Maladie du cancer<br>癌细胞 - áixìbāo - Cellule cancéreuse	nom,concept,santé	[sound:hsk7-9_癌.wav]
5941-V	HSK 7-9	挨2	ái	subir; endurer	挨 - ái - subir / endurer<br>挨打 - áidǎ - se faire frapper<br>挨骂 - áimà - se faire insulter	verbe,subir,action	[sound:hsk7_挨2.wav]
5943-V	HSK 7-9	爱不释手	àibúshìshǒu	aimer tellement quelque chose qu'on ne veut pas le lâcher	这本书我爱不释手 - zhè běn shū wǒ àibúshìshǒu - J'aime tellement ce livre que je ne veux pas le lâcher<br>这个玩具孩子们爱不释手 - zhège wánjù háizimen àibúshìshǒu - Les enfants aiment tellement ce jouet qu'ils ne veulent pas le lâcher	nom,verbe,action	[sound:hsk7-9_爱不释手.wav]
5944-V	HSK 7-9	爱戴	àidài	aimer et respecter; chérir	爱戴的领导 - àidài de lǐngdǎo - Un leader aimé et respecté<br>爱戴的父母 - àidài de fùmǔ - Des parents chéris	nom,verbe,action	[sound:hsk7-9_爱戴.wav]
5945-V	HSK 7-9	挨家挨户	āijiā-āihù	visiter chaque maison	挨家挨户地访问 - āijiā-āihù de fǎngwèn - Visiter chaque maison<br>挨家挨户地宣传 - āijiā-āihù de xuānchuán - Propagande dans chaque maison	nom,verbe,action	[sound:hsk7-9_挨家挨户.wav]
5946-V	HSK 7-9	暧昧	àimèi	ambigu; vague; indéterminé	暧昧关系 - àimèi guānxì - Relation ambiguë	nom,adjectif,concept	[sound:hsk7-9_暧昧.wav]
5947-V	HSK 7-9	爱慕	àimù	aimer; être amoureux de quelqu'un ou quelque chose	爱慕之情 - àimù zhīqíng - Sentiment d'amour	nom,verbe,action	[sound:hsk7-9_爱慕.wav]
5948-V	HSK 7-9	哀求	āiqiú	prier avec tristesse; supplier avec tristesse ou désespoir	哀求帮助 - āiqiú bāngzhù - Supplier de l'aide avec tristesse	nom,verbe,action	[sound:hsk7-9_哀求.wav]
5949-V	HSK 7-9	碍事	àishì	gêner; être gênant ou embêtant pour quelqu'un ou quelque chose d'autre. (HSK5) 这个东西碍事 - àishì de dōngxi - Cet objet est gênant	nom,verbe,action	[sound:hsk7-9_碍事.wav]	
5950-V	HSK 7-9	爱惜	àixī	aimer et prendre soin de quelque chose ou quelqu'un	爱惜时间 - àixī shíjiān - Aimer et prendre soin du temps	nom,verbe,action	[sound:hsk7-9_爱惜.wav]
1730-V	HSK 7-9	癌症	áizhèng	cancer	预防癌症 - yùfáng áizhèng - prévention du cancer<br>癌症治疗 - áizhèng zhìliáo - traitement du cancer<br>癌症患者 - áizhèng huànzhě - patient atteint du cancer	santé	[sound:hsk1_癌症.wav]
