hsk_level	类别	类别名称	细目	语法内容
HSK1	语素	前缀		小—、第—
HSK1	语素	后缀		—们、—边
HSK1	词类	名词	方位名词	上、下、里、外、前、后
HSK1	词类	动词	能愿动词	会、能
HSK1	词类	动词	能愿动词	想、要
HSK1	词类	动词	能愿动词	可以
HSK1	词类	动词	离合词	看病、睡觉、说话、上课、下课、上班、下班 、生病
HSK1	词类	代词	疑问代词	多、多少、几、哪、哪儿、哪里、哪些、什么 、谁、怎么、怎么样
HSK1	词类	代词	人称代词	我、你、您、他、她、我们、你们、他们、她 们、它、它们、大家
HSK1	词类	代词	指示代词	这、那、这儿、那儿、这里、那里、这些、那 些、有的、这个、那个、有些
HSK1	词类	数词		一、二/两、三、四、五、六、七、八、九、 零、十、百、半、千
HSK1	词类	量词	名量词	（1）专用名量词：本、个、家、口、块、件 、只、元
HSK1	词类	量词	名量词	（2）借用名量词：杯
HSK1	词类	量词	时量词	日、号、岁、点、分、年、天
HSK1	词类	副词	程度副词	非常、很、太、真、有（一）点儿
HSK1	词类	副词	范围副词	都1
HSK1	词类	副词	时间副词	在、正在
HSK1	词类	副词	频率副词	再1
HSK1	词类	副词	关联副词	还1、也
HSK1	词类	副词	否定副词	不、没（有）、不要
HSK1	词类	介词	引出时间、处所	在
HSK1	词类	介词	引出对象	和1、对
HSK1	词类	连词	连接词语或短语	和2
HSK1	词类	助词	结构助词	的1
HSK1	词类	助词	动态助词	了1
HSK1	词类	助词	语气助词	吧1、了2 、吗、呢1、呢2、呢3
HSK1	词类	叹词		喂
HSK1	短语	结构类型	基本结构类型	（1）联合短语
HSK1	短语	结构类型	基本结构类型	（2）偏正短语
HSK1	短语	结构类型	基本结构类型	（3）动宾短语
HSK1	短语	结构类型	基本结构类型	（4）主谓短语
HSK1	短语	结构类型	其他结构类型	（1）数量短语
HSK1	短语	结构类型	其他结构类型	（2）介宾短语
HSK1	短语	结构类型	其他结构类型	（3）方位短语
HSK1	句子成分	主语		名词、代词或名词性短语作主语
HSK1	句子成分	谓语		名词、代词、数词或数量短语作谓语
HSK1	句子成分	谓语		动词或动词性短语、形容词或形容词性短语作 谓语
HSK1	句子成分	宾语		名词、代词或名词性短语作宾语
HSK1	句子成分	定语		名词性词语、形容词性短语、数量短语作定语
HSK1	句子成分	状语		副词、形容词作状语 表示时间、处所的词语作状语
HSK1	句子成分	补语	数量补语1	动词+动量补语
HSK1	句子成分	句型	单句	主谓句1：动词谓语句
HSK1	句子成分	句型	单句	主谓句2：形容词谓语句
HSK1	句子成分	句型	单句	主谓句3：名词谓语句
HSK1	句子成分	句型	单句	非主谓句
HSK1	句子成分	句类	陈述句	
HSK1	句子成分	句类	疑问句	（1）是非问句
HSK1	句子成分	句类	疑问句	（2）特指问句
HSK1	句子成分	句类	疑问句	（3）正反问句
HSK1	句子成分	句类	祈使句	
HSK1	句子成分	句类	感叹句	
HSK1	句子成分	特殊句型	“是”字句1	表示等同或类属
HSK1	句子成分	特殊句型	“有”字句1	表示领有
HSK1	句子成分	特殊句型	存现句1	（1）所处+是+名词
HSK1	句子成分	特殊句型	存现句1	（2）处所+有+数量短语+名词
HSK1	句子成分	特殊句型	连动句1	（1）前后动作先后发生，后一动作是前一动 作的目的
HSK1	句子成分	特殊句型	连动句1	（2）前一动作是后一动作的方式
HSK1	句子成分	特殊句型	双宾语句1	主语+动词+宾语1+宾语2
HSK1	复句		不用关联词语的复句	
