hsk_level_group	index	character	page
1-2	1	爱	288
1-2	2	八	288
1-2	3	爸	288
1-2	4	百	288
1-2	5	半	288
1-2	6	比	288
1-2	7	边	288
1-2	8	不	288
1-2	9	茶	288
1-2	10	打	288
1-2	11	大	288
1-2	12	地	288
1-2	13	的	288
1-2	14	点	288
1-2	15	对	288
1-2	16	多	288
1-2	17	儿	288
1-2	18	二	288
1-2	19	分	288
1-2	20	哥	288
1-2	21	个	288
1-2	22	工	288
1-2	23	口	288
1-2	24	国	288
1-2	25	过	288
1-2	26	还	288
1-2	27	汉	288
1-2	28	好	288
1-2	29	和	288
1-2	30	很	288
1-2	31	后	288
1-2	32	会	288
1-2	33	几	288
1-2	34	家	288
1-2	35	间	288
1-2	36	叫	288
1-2	37	姐	288
1-2	38	今	288
1-2	39	男	288
1-2	40	九	288
1-2	41	可	288
1-2	42	来	288
1-2	43	了	288
1-2	44	两	288
1-2	45	六	288
1-2	46	妈	288
1-2	47	吗	288
1-2	48	么	288
1-2	49	没	288
1-2	50	们	288
1-2	51	名	288
1-2	52	那	288
1-2	53	你	288
1-2	54	年	288
1-2	55	七	288
1-2	56	去	288
1-2	57	人	288
1-2	58	日	288
1-2	59	三	288
1-2	60	少	288
1-2	61	上	288
1-2	62	什	288
1-2	63	生	288
1-2	64	十	288
1-2	65	时	288
1-2	66	是	288
1-2	67	书	288
1-2	68	说	288
1-2	69	四	288
1-2	70	岁	288
1-2	71	他	288
1-2	72	她	288
1-2	73	天	288
1-2	74	同	288
1-2	75	为	288
1-2	76	文	288
1-2	77	我	288
1-2	78	五	288
1-2	79	午	288
1-2	80	习	288
1-2	81	下	288
1-2	82	小	288
1-2	83	现	288
1-2	84	写	288
1-2	85	学	288
1-2	86	要	288
1-2	87	也	288
1-2	88	一	288
1-2	89	以	288
1-2	90	有	288
1-2	91	语	288
1-2	92	月	288
1-2	93	在	288
1-2	94	长	288
1-2	95	这	288
1-2	96	中	288
1-2	97	子	288
1-2	98	女	288
1-2	99	字	288
1-2	100	作	288
3	1	安	289
3	2	把	289
3	3	般	289
3	4	板	289
3	5	办	289
3	6	饱	289
3	7	报	289
3	8	北	289
3	9	被	289
3	10	必	289
3	11	变	289
3	12	冰	289
3	13	才	289
3	14	参	289
3	15	草	289
3	16	层	289
3	17	查	289
3	18	差	289
3	19	成	289
3	20	城	289
3	21	除	289
3	22	处	289
3	23	春	289
3	24	答	289
3	25	带	289
3	26	单	289
3	27	当	289
3	28	灯	289
3	29	典	289
3	30	调	289
3	31	定	289
3	32	丢	289
3	33	冬	289
3	34	段	289
3	35	而	289
3	36	耳	289
3	37	发	289
3	38	法	289
3	39	方	289
3	40	放	289
3	41	风	289
3	42	复	289
3	43	该	289
3	44	干	289
3	45	刚	289
3	46	更	289
3	47	共	289
3	48	故	289
3	49	瓜	289
3	50	海	289
3	51	合	289
3	52	河	289
3	53	护	289
3	54	化	289
3	55	换	289
3	56	活	289
3	57	或	289
3	58	级	289
3	59	急	289
3	60	加	289
3	61	假	289
3	62	讲	289
3	63	角	289
3	64	饺	289
3	65	节	289
3	66	结	289
3	67	借	289
3	68	斤	289
3	69	净	289
3	70	久	289
3	71	句	289
3	72	卡	289
3	73	渴	289
3	74	刻	289
3	75	空	289
3	76	哭	289
3	77	礼	289
3	78	李	289
3	79	力	289
3	80	练	289
3	81	凉	289
3	82	马	289
3	83	毛	289
3	84	目	289
3	85	南	289
3	86	难	289
3	87	努	289
3	88	怕	289
3	89	胖	289
3	90	片	289
3	91	平	289
3	92	瓶	289
3	93	其	289
3	94	汽	289
3	95	且	289
3	96	轻	289
3	97	秋	289
3	98	求	289
3	99	区	289
3	100	全	289
3	101	如	289
3	102	伞	289
3	103	山	289
3	104	勺	289
3	105	声	289
3	106	实	289
3	107	适	289
3	108	收	289
3	109	受	289
3	110	树	289
3	111	特	289
3	112	挺	289
3	113	图	289
3	114	闻	289
3	115	务	289
3	116	物	289
3	117	夏	289
3	118	相	289
3	119	香	289
3	120	响	289
3	121	向	289
3	122	心	289
3	123	信	289
3	124	行	289
3	125	须	289
3	126	选	289
3	127	牙	289
3	128	言	289
3	129	羊	289
3	130	阳	289
3	131	养	289
3	132	业	289
3	133	页	289
3	134	音	289
3	135	饮	289
3	136	应	289
3	137	用	289
3	138	又	289
3	139	于	289
3	140	育	289
3	141	咱	289
3	142	张	289
3	143	者	289
3	144	直	289
3	145	纸	289
3	146	种	289
3	147	重	289
3	148	主	289
3	149	助	289
3	150	总	289
4	1	巴	290
4	2	保	290
4	3	抱	290
4	4	背	290
4	5	标	290
4	6	并	290
4	7	部	290
4	8	餐	290
4	9	产	290
4	10	厂	290
4	11	晨	290
4	12	程	290
4	13	吹	290
4	14	此	290
4	15	村	290
4	16	达	290
4	17	刀	290
4	18	导	290
4	19	倒	290
4	20	低	290
4	21	掉	290
4	22	度	290
4	23	断	290
4	24	队	290
4	25	烦	290
4	26	反	290
4	27	份	290
4	28	否	290
4	29	父	290
4	30	改	290
4	31	敢	290
4	32	各	290
4	33	够	290
4	34	挂	290
4	35	观	290
4	36	管	290
4	37	广	290
4	38	喊	290
4	39	忽	290
4	40	虎	290
4	41	划	290
4	42	基	290
4	43	及	290
4	44	计	290
4	45	技	290
4	46	际	290
4	47	济	290
4	48	寄	290
4	49	建	290
4	50	江	290
4	51	将	290
4	52	金	290
4	53	京	290
4	54	究	290
4	55	举	290
4	56	科	290
4	57	克	290
4	58	况	290
4	59	困	290
4	60	拉	290
4	61	利	290
4	62	例	290
4	63	俩	290
4	64	连	290
4	65	联	290
4	66	量	290
4	67	另	290
4	68	流	290
4	69	论	290
4	70	麻	290
4	71	美	290
4	72	民	290
4	73	内	290
4	74	农	290
4	75	弄	290
4	76	排	290
4	77	牌	290
4	78	篇	290
4	79	品	290
4	80	普	290
4	81	强	290
4	82	青	290
4	83	取	290
4	84	确	290
4	85	任	290
4	86	扔	290
4	87	入	290
4	88	社	290
4	89	深	290
4	90	省	290
4	91	食	290
4	92	使	290
4	93	示	290
4	94	式	290
4	95	输	290
4	96	熟	290
4	97	术	290
4	98	顺	290
4	99	随	290
4	100	台	290
4	101	态	290
4	102	谈	290
4	103	汤	290
4	104	堂	290
4	105	讨	290
4	106	套	290
4	107	庭	290
4	108	停	290
4	109	通	290
4	110	痛	290
4	111	土	290
4	112	推	290
4	113	味	290
4	114	温	290
4	115	无	290
4	116	误	290
4	117	线	290
4	118	象	290
4	119	性	290
4	120	兄	290
4	121	许	290
4	122	血	290
4	123	压	290
4	124	亚	290
4	125	研	290
4	126	验	290
4	127	夜	290
4	128	印	290
4	129	永	290
4	130	由	290
4	131	油	290
4	132	与	290
4	133	原	290
4	134	约	290
4	135	云	290
4	136	增	290
4	137	章	290
4	138	之	290
4	139	支	290
4	140	止	290
4	141	指	290
4	142	至	290
4	143	志	290
4	144	众	290
4	145	专	290
4	146	转	290
4	147	装	290
4	148	资	290
4	149	组	290
4	150	座	290
5	1	版	291
5	2	扮	291
5	3	伴	291
5	4	宝	291
5	5	贝	291
5	6	币	291
5	7	闭	291
5	8	补	291
5	9	布	291
5	10	采	291
5	11	册	291
5	12	测	291
5	13	叉	291
5	14	吵	291
5	15	沉	291
5	16	称	291
5	17	承	291
5	18	尺	291
5	19	冲	291
5	20	充	291
5	21	虫	291
5	22	抽	291
5	23	丑	291
5	24	臭	291
5	25	传	291
5	26	创	291
5	27	代	291
5	28	胆	291
5	29	旦	291
5	30	挡	291
5	31	敌	291
5	32	冻	291
5	33	斗	291
5	34	豆	291
5	35	独	291
5	36	吨	291
5	37	范	291
5	38	防	291
5	39	访	291
5	40	疯	291
5	41	佛	291
5	42	府	291
5	43	妇	291
5	44	搞	291
5	45	贡	291
5	46	构	291
5	47	古	291
5	48	柜	291
5	49	哈	291
5	50	含	291
5	51	胡	291
5	52	湖	291
5	53	华	291
5	54	挥	291
5	55	挤	291
5	56	甲	291
5	57	架	291
5	58	艰	291
5	59	局	291
5	60	巨	291
5	61	军	291
5	62	均	291
5	63	靠	291
5	64	宽	291
5	65	亏	291
5	66	括	291
5	67	劳	291
5	68	泪	291
5	69	类	291
5	70	立	291
5	71	良	291
5	72	疗	291
5	73	烈	291
5	74	领	291
5	75	令	291
5	76	龙	291
5	77	陆	291
5	78	录	291
5	79	骂	291
5	80	秘	291
5	81	某	291
5	82	念	291
5	83	派	291
5	84	配	291
5	85	盆	291
5	86	碰	291
5	87	匹	291
5	88	拼	291
5	89	齐	291
5	90	欠	291
5	91	曲	291
5	92	权	291
5	93	劝	291
5	94	忍	291
5	95	晒	291
5	96	舍	291
5	97	设	291
5	98	神	291
5	99	升	291
5	100	胜	291
5	101	诗	291
5	102	石	291
5	103	似	291
5	104	势	291
5	105	守	291
5	106	私	291
5	107	素	291
5	108	宿	291
5	109	挑	291
5	110	团	291
5	111	退	291
5	112	拖	291
5	113	伟	291
5	114	未	291
5	115	胃	291
5	116	武	291
5	117	夕	291
5	118	析	291
5	119	席	291
5	120	闲	291
5	121	显	291
5	122	县	291
5	123	形	291
5	124	宣	291
5	125	寻	291
5	126	训	291
5	127	咬	291
5	128	依	291
5	129	乙	291
5	130	亿	291
5	131	义	291
5	132	益	291
5	133	映	291
5	134	余	291
5	135	玉	291
5	136	圆	291
5	137	载	291
5	138	造	291
5	139	占	291
5	140	召	291
5	141	政	291
5	142	织	291
5	143	制	291
